time_sec,arrivals
1875.0,17
5475.0,16
9075.0,9
12675.0,5
16275.0,13
19875.0,5
23475.0,11
27075.0,6
30675.0,18
34275.0,10
37875.0,32
41475.0,17
45075.0,36
48675.0,15
52275.0,7
55875.0,19
59475.0,7
63075.0,8
66675.0,12
70275.0,5
73875.0,9
77475.0,9
81075.0,4
84675.0,17
88275.0,11
91875.0,24
95475.0,9
99075.0,12
102675.0,4
106275.0,7
109875.0,3
113475.0,5
117075.0,13
120675.0,2
124275.0,9
127875.0,23
131475.0,8
135075.0,18
138675.0,47
142275.0,19
145875.0,14
149475.0,20
153075.0,11
156675.0,8
160275.0,19
163875.0,14
167475.0,21
171075.0,27
174675.0,22
178275.0,27
181875.0,16
185475.0,13
189075.0,17
192675.0,16
196275.0,10
199875.0,4
203475.0,15
207075.0,13
210675.0,50
214275.0,50
217875.0,40
221475.0,21
225075.0,10
228675.0,10
232275.0,8
235875.0,7
239475.0,14
243075.0,3
246675.0,0
250275.0,0
253875.0,3
257475.0,4
261075.0,9
264675.0,5
268275.0,1
271875.0,7
275475.0,4
279075.0,6
282675.0,18
286275.0,18
289875.0,4
293475.0,6
297075.0,8
300675.0,11
304275.0,32
307875.0,11
311475.0,17
315075.0,15
318675.0,28
322275.0,28
325875.0,23
329475.0,11
333075.0,8
336675.0,25
340275.0,6
343875.0,32
347475.0,8
351075.0,2
354675.0,8
358275.0,6
361875.0,8
365475.0,12
369075.0,17
372675.0,8
376275.0,13
379875.0,8
383475.0,15
387075.0,26
390675.0,31
394275.0,11
397875.0,10
401475.0,29
405075.0,31
408675.0,15
412275.0,57
415875.0,15
419475.0,12
423075.0,11
426675.0,3
430275.0,2
433875.0,4
437475.0,6
441075.0,7
444675.0,3
448275.0,2
451875.0,6
455475.0,4
459075.0,2
462675.0,5
466275.0,13
469875.0,11
473475.0,15
477075.0,12
480675.0,16
484275.0,27
487875.0,22
491475.0,11
495075.0,11
498675.0,7
502275.0,22
505875.0,10
509475.0,35
513075.0,15
516675.0,17
520275.0,12
523875.0,6
527475.0,8
531075.0,3
534675.0,7
538275.0,1
541875.0,5
545475.0,4
549075.0,13
552675.0,16
556275.0,11
559875.0,14
563475.0,11
567075.0,8
570675.0,6
574275.0,27
577875.0,8
581475.0,15
585075.0,3
588675.0,0
592275.0,1
595875.0,5
599475.0,4
603075.0,17
606675.0,20
610275.0,30
613875.0,33
617475.0,15
621075.0,24
624675.0,9
628275.0,7
631875.0,5
635475.0,0
639075.0,4
642675.0,6
646275.0,4
649875.0,6
653475.0,7
657075.0,5
660675.0,6
664275.0,7
667875.0,1
671475.0,20
675075.0,3
678675.0,3
682275.0,8
685875.0,4
689475.0,5
693075.0,27
696675.0,8
700275.0,15
703875.0,2
707475.0,21
711075.0,12
714675.0,13
718275.0,4
721875.0,6
725475.0,4
729075.0,2
732675.0,5
736275.0,5
739875.0,1
743475.0,3
747075.0,4
750675.0,1
754275.0,4
757875.0,1
761475.0,0
765075.0,3
768675.0,7
772275.0,4
775875.0,3
779475.0,1
783075.0,6
786675.0,7
790275.0,5
793875.0,10
797475.0,15
801075.0,1
804675.0,32
808275.0,5
811875.0,16
815475.0,13
819075.0,7
822675.0,16
826275.0,8
829875.0,16
833475.0,9
837075.0,20
840675.0,19
844275.0,12
847875.0,7
851475.0,35
855075.0,13
858675.0,13
862275.0,4
865875.0,6
869475.0,6
873075.0,8
876675.0,2
880275.0,4
883875.0,9
887475.0,9
891075.0,7
894675.0,9
898275.0,4
901875.0,102
905475.0,54
909075.0,53
912675.0,22
916275.0,52
919875.0,113
923475.0,42
927075.0,24
930675.0,54
934275.0,5
937875.0,7
941475.0,6
945075.0,4
948675.0,3
952275.0,12
955875.0,14
959475.0,3
963075.0,7
966675.0,8
970275.0,13
973875.0,2
977475.0,3
981075.0,3
984675.0,5
988275.0,21
991875.0,43
995475.0,65
999075.0,43
1002675.0,72
1006275.0,20
1009875.0,14
1013475.0,16
1017075.0,38
1020675.0,23
1024275.0,43
1027875.0,29
1031475.0,53
1035075.0,17
1038675.0,75
1042275.0,8
1045875.0,17
1049475.0,8
1053075.0,7
1056675.0,8
1060275.0,2
1063875.0,5
1067475.0,4
1071075.0,8
1074675.0,4
1078275.0,11
1081875.0,8
1085475.0,9
1089075.0,21
1092675.0,19
1096275.0,17
1099875.0,11
1103475.0,113
1107075.0,36
1110675.0,18
1114275.0,17
1117875.0,9
1121475.0,30
1125075.0,4
1128675.0,60
1132275.0,18
1135875.0,48
1139475.0,17
1143075.0,43
1146675.0,6
1150275.0,34
1153875.0,26
1157475.0,8
1161075.0,26
1164675.0,26
1168275.0,42
1171875.0,28
1175475.0,18
1179075.0,27
1182675.0,72
1186275.0,11
1189875.0,54
1193475.0,11
1197075.0,54
1200675.0,28
1204275.0,16
1207875.0,32
1211475.0,6
1215075.0,42
1218675.0,6
1222275.0,49
1225875.0,4
1229475.0,41
1233075.0,8
1236675.0,30
1240275.0,31
1243875.0,7
1247475.0,30
1251075.0,24
1254675.0,25
1258275.0,26
1261875.0,16
1265475.0,23
1269075.0,13
1272675.0,19
1276275.0,20
1279875.0,20
1283475.0,18
1287075.0,10
1290675.0,23
1294275.0,22
1297875.0,24
1301475.0,9
1305075.0,22
1308675.0,9
1312275.0,12
1315875.0,16
1319475.0,30
1323075.0,4
1326675.0,26
1330275.0,14
1333875.0,11
1337475.0,21
1341075.0,18
1344675.0,14
1348275.0,13
1351875.0,6
1355475.0,4
1359075.0,9
1362675.0,6
1366275.0,10
1369875.0,3
1373475.0,12
1377075.0,14
1380675.0,11
1384275.0,4
1387875.0,15
1391475.0,7
1395075.0,13
1398675.0,13
1402275.0,11
1405875.0,7
1409475.0,9
1413075.0,20
1416675.0,23
1420275.0,42
1423875.0,12
1427475.0,21
1431075.0,16
1434675.0,254
1438275.0,36
1441875.0,22
1445475.0,22
1449075.0,11
1452675.0,92
1456275.0,31
1459875.0,21
1463475.0,22
1467075.0,15
1470675.0,19
1474275.0,21
1477875.0,21
1481475.0,18
1485075.0,7
1488675.0,17
1492275.0,17
1495875.0,23
1499475.0,33
1503075.0,25
1506675.0,112
1510275.0,54
1513875.0,19
1517475.0,7
1521075.0,23
1524675.0,21
1528275.0,15
1531875.0,92
1535475.0,43
1539075.0,25
1542675.0,17
1546275.0,20
1549875.0,23
1553475.0,46
1557075.0,13
1560675.0,32
1564275.0,8
1567875.0,5
1571475.0,5
1575075.0,7
1578675.0,4
1582275.0,7
1585875.0,4
1589475.0,22
1593075.0,23
1596675.0,30
1600275.0,8
1603875.0,17
1607475.0,17
1611075.0,25
1614675.0,11
1618275.0,15
1621875.0,9
1625475.0,25
1629075.0,22
1632675.0,13
1636275.0,8
1639875.0,30
1643475.0,13
1647075.0,14
1650675.0,22
1654275.0,31
1657875.0,5
1661475.0,20
1665075.0,10
1668675.0,12
1672275.0,14
1675875.0,21
1679475.0,26
1683075.0,51
1686675.0,14
1690275.0,11
1693875.0,314
1697475.0,108
1701075.0,24
1704675.0,21
1708275.0,16
