time_sec,concurrency
1875.0,15
5475.0,24
9075.0,32
12675.0,34
16275.0,45
19875.0,48
23475.0,53
27075.0,57
30675.0,72
34275.0,77
37875.0,106
41475.0,120
45075.0,142
48675.0,153
52275.0,153
55875.0,169
59475.0,174
63075.0,180
66675.0,183
70275.0,185
73875.0,192
77475.0,194
81075.0,194
84675.0,204
88275.0,207
91875.0,223
95475.0,227
99075.0,234
102675.0,235
106275.0,238
109875.0,238
113475.0,241
117075.0,244
120675.0,243
124275.0,248
127875.0,261
131475.0,257
135075.0,268
138675.0,288
142275.0,297
145875.0,300
149475.0,304
153075.0,308
156675.0,307
160275.0,311
163875.0,315
167475.0,322
171075.0,327
174675.0,336
178275.0,350
181875.0,355
185475.0,360
189075.0,363
192675.0,369
196275.0,369
199875.0,368
203475.0,370
207075.0,372
210675.0,411
214275.0,429
217875.0,446
221475.0,451
225075.0,454
228675.0,459
232275.0,459
235875.0,461
239475.0,470
243075.0,464
246675.0,463
250275.0,463
253875.0,465
257475.0,468
261075.0,473
264675.0,474
268275.0,474
271875.0,477
275475.0,480
279075.0,486
282675.0,484
286275.0,484
289875.0,483
293475.0,484
297075.0,486
300675.0,484
304275.0,501
307875.0,505
311475.0,513
315075.0,520
318675.0,543
322275.0,553
325875.0,568
329475.0,571
333075.0,571
336675.0,586
340275.0,590
343875.0,611
347475.0,612
351075.0,612
354675.0,614
358275.0,618
361875.0,621
365475.0,624
369075.0,627
372675.0,626
376275.0,629
379875.0,629
383475.0,640
387075.0,648
390675.0,660
394275.0,665
397875.0,651
401475.0,670
405075.0,675
408675.0,684
412275.0,711
415875.0,714
419475.0,720
423075.0,728
426675.0,730
430275.0,729
433875.0,730
437475.0,734
441075.0,737
444675.0,737
448275.0,737
451875.0,738
455475.0,739
459075.0,739
462675.0,742
466275.0,748
469875.0,755
473475.0,753
477075.0,758
480675.0,769
484275.0,783
487875.0,789
491475.0,788
495075.0,793
498675.0,799
502275.0,804
505875.0,804
509475.0,807
513075.0,810
516675.0,816
520275.0,819
523875.0,821
527475.0,822
531075.0,824
534675.0,827
538275.0,824
541875.0,823
545475.0,824
549075.0,836
552675.0,841
556275.0,842
559875.0,845
563475.0,849
567075.0,852
570675.0,850
574275.0,866
577875.0,869
581475.0,871
585075.0,870
588675.0,870
592275.0,871
595875.0,874
599475.0,874
603075.0,886
606675.0,891
610275.0,915
613875.0,932
617475.0,936
621075.0,943
624675.0,946
628275.0,947
631875.0,946
635475.0,946
639075.0,947
642675.0,947
646275.0,948
649875.0,948
653475.0,951
657075.0,952
660675.0,952
664275.0,955
667875.0,956
671475.0,969
675075.0,953
678675.0,950
682275.0,953
685875.0,957
689475.0,957
693075.0,968
696675.0,971
700275.0,978
703875.0,978
707475.0,989
711075.0,992
714675.0,996
718275.0,995
721875.0,994
725475.0,995
729075.0,994
732675.0,996
736275.0,994
739875.0,993
743475.0,993
747075.0,995
750675.0,993
754275.0,994
757875.0,993
761475.0,993
765075.0,995
768675.0,997
772275.0,998
775875.0,998
779475.0,998
783075.0,1000
786675.0,1004
790275.0,1007
793875.0,1017
797475.0,1020
801075.0,1018
804675.0,1038
808275.0,1035
811875.0,1036
815475.0,1044
819075.0,1042
822675.0,1057
826275.0,1057
829875.0,1067
833475.0,1072
837075.0,1085
840675.0,1087
844275.0,1090
847875.0,1095
851475.0,1100
855075.0,1103
858675.0,1110
862275.0,1112
865875.0,1115
869475.0,1119
873075.0,1123
876675.0,1125
880275.0,1128
883875.0,1135
887475.0,1138
891075.0,1135
894675.0,1141
898275.0,1140
901875.0,1238
905475.0,1268
909075.0,1267
912675.0,1279
916275.0,1314
919875.0,1363
923475.0,1363
927075.0,1372
930675.0,1411
934275.0,1407
937875.0,1411
941475.0,1414
945075.0,1415
948675.0,1415
952275.0,1420
955875.0,1427
959475.0,1425
963075.0,1430
966675.0,1433
970275.0,1440
973875.0,1438
977475.0,1440
981075.0,1441
984675.0,1445
988275.0,1458
991875.0,1482
995475.0,1502
999075.0,1499
1002675.0,1511
1006275.0,1517
1009875.0,1526
1013475.0,1530
1017075.0,1549
1020675.0,1548
1024275.0,1561
1027875.0,1569
1031475.0,1581
1035075.0,1581
1038675.0,1602
1042275.0,1602
1045875.0,1609
1049475.0,1611
1053075.0,1611
1056675.0,1613
1060275.0,1615
1063875.0,1615
1067475.0,1617
1071075.0,1624
1074675.0,1627
1078275.0,1630
1081875.0,1632
1085475.0,1633
1089075.0,1646
1092675.0,1652
1096275.0,1652
1099875.0,1656
1103475.0,1747
1107075.0,1756
1110675.0,1761
1114275.0,1764
1117875.0,1759
1121475.0,1765
1125075.0,1763
1128675.0,1799
1132275.0,1805
1135875.0,1826
1139475.0,1824
1143075.0,1845
1146675.0,1829
1150275.0,1835
1153875.0,1843
1157475.0,1837
1161075.0,1837
1164675.0,1846
1168275.0,1856
1171875.0,1853
1175475.0,1856
1179075.0,1856
1182675.0,1906
1186275.0,1903
1189875.0,1903
1193475.0,1910
1197075.0,1926
1200675.0,1934
1204275.0,1926
1207875.0,1933
1211475.0,1928
1215075.0,1943
1218675.0,1944
1222275.0,1968
1225875.0,1965
1229475.0,1973
1233075.0,1970
1236675.0,1974
1240275.0,1976
1243875.0,1972
1247475.0,1973
1251075.0,1979
1254675.0,1983
1258275.0,1981
1261875.0,1990
1265475.0,1986
1269075.0,1993
1272675.0,1985
1276275.0,1982
1279875.0,1987
1283475.0,1988
1287075.0,1992
1290675.0,1998
1294275.0,1997
1297875.0,2003
1301475.0,1998
1305075.0,2004
1308675.0,2012
1312275.0,2008
1315875.0,2021
1319475.0,2023
1323075.0,2022
1326675.0,2021
1330275.0,2028
1333875.0,2023
1337475.0,2026
1341075.0,2026
1344675.0,2036
1348275.0,2031
1351875.0,2031
1355475.0,2031
1359075.0,2031
1362675.0,2030
1366275.0,2031
1369875.0,2031
1373475.0,2032
1377075.0,2035
1380675.0,2038
1384275.0,2038
1387875.0,2043
1391475.0,2047
1395075.0,2054
1398675.0,2058
1402275.0,2062
1405875.0,2063
1409475.0,2065
1413075.0,2068
1416675.0,2072
1420275.0,2088
1423875.0,2084
1427475.0,2092
1431075.0,2099
1434675.0,2184
1438275.0,2111
1441875.0,2116
1445475.0,2119
1449075.0,2119
1452675.0,2170
1456275.0,2183
1459875.0,2188
1463475.0,2197
1467075.0,2200
1470675.0,2201
1474275.0,2214
1477875.0,2220
1481475.0,2220
1485075.0,2220
1488675.0,2221
1492275.0,2225
