time_sec,departures
1875.0,20
5475.0,13
9075.0,8
12675.0,4
16275.0,10
19875.0,8
23475.0,10
27075.0,8
30675.0,16
34275.0,11
37875.0,22
41475.0,20
45075.0,33
48675.0,12
52275.0,14
55875.0,19
59475.0,6
63075.0,6
66675.0,10
70275.0,6
73875.0,5
77475.0,9
81075.0,8
84675.0,14
88275.0,10
91875.0,16
95475.0,6
99075.0,6
102675.0,4
106275.0,6
109875.0,5
113475.0,4
117075.0,13
120675.0,3
124275.0,5
127875.0,17
131475.0,14
135075.0,7
138675.0,52
142275.0,22
145875.0,14
149475.0,18
153075.0,9
156675.0,9
160275.0,18
163875.0,12
167475.0,18
171075.0,23
174675.0,21
178275.0,19
181875.0,13
185475.0,14
189075.0,16
192675.0,11
196275.0,10
199875.0,7
203475.0,15
207075.0,16
210675.0,30
214275.0,77
217875.0,37
221475.0,29
225075.0,10
228675.0,7
232275.0,11
235875.0,6
239475.0,7
243075.0,10
246675.0,1
250275.0,0
253875.0,2
257475.0,3
261075.0,7
264675.0,4
268275.0,1
271875.0,5
275475.0,3
279075.0,3
282675.0,20
286275.0,18
289875.0,6
293475.0,5
297075.0,7
300675.0,82
304275.0,27
307875.0,17
311475.0,19
315075.0,15
318675.0,23
322275.0,26
325875.0,26
329475.0,9
333075.0,10
336675.0,25
340275.0,4
343875.0,31
347475.0,11
351075.0,2
354675.0,8
358275.0,4
361875.0,7
365475.0,9
369075.0,17
372675.0,11
376275.0,12
379875.0,8
383475.0,4
387075.0,27
390675.0,29
394275.0,6
397875.0,26
401475.0,10
405075.0,38
408675.0,10
412275.0,63
415875.0,18
419475.0,11
423075.0,3
426675.0,2
430275.0,3
433875.0,4
437475.0,7
441075.0,4
444675.0,5
448275.0,2
451875.0,5
455475.0,4
459075.0,2
462675.0,5
466275.0,9
469875.0,9
473475.0,24
477075.0,9
480675.0,15
484275.0,25
487875.0,19
491475.0,13
495075.0,10
498675.0,5
502275.0,21
505875.0,13
509475.0,36
513075.0,16
516675.0,12
520275.0,10
523875.0,4
527475.0,8
531075.0,1
534675.0,5
538275.0,4
541875.0,6
545475.0,5
549075.0,10
552675.0,16
556275.0,11
559875.0,17
563475.0,7
567075.0,8
570675.0,13
574275.0,25
577875.0,8
581475.0,14
585075.0,4
588675.0,0
592275.0,1
595875.0,3
599475.0,6
603075.0,9
606675.0,25
610275.0,6
613875.0,21
617475.0,12
621075.0,22
624675.0,6
628275.0,6
631875.0,6
635475.0,0
639075.0,3
642675.0,6
646275.0,3
649875.0,6
653475.0,7
657075.0,5
660675.0,7
664275.0,6
667875.0,1
671475.0,7
675075.0,19
678675.0,6
682275.0,5
685875.0,0
689475.0,5
693075.0,25
696675.0,7
700275.0,8
703875.0,2
707475.0,14
711075.0,12
714675.0,9
718275.0,5
721875.0,7
725475.0,3
729075.0,3
732675.0,3
736275.0,7
739875.0,2
743475.0,3
747075.0,2
750675.0,3
754275.0,3
757875.0,2
761475.0,0
765075.0,1
768675.0,29
772275.0,4
775875.0,3
779475.0,1
783075.0,5
786675.0,4
790275.0,3
793875.0,0
797475.0,16
801075.0,3
804675.0,20
808275.0,9
811875.0,17
815475.0,6
819075.0,20
822675.0,7
826275.0,9
829875.0,17
833475.0,5
837075.0,14
840675.0,21
844275.0,14
847875.0,6
851475.0,30
855075.0,11
858675.0,7
862275.0,3
865875.0,5
869475.0,4
873075.0,4
876675.0,0
880275.0,1
883875.0,3
887475.0,9
891075.0,10
894675.0,4
898275.0,6
901875.0,4
905475.0,34
909075.0,71
912675.0,15
916275.0,37
919875.0,101
923475.0,51
927075.0,18
930675.0,30
934275.0,13
937875.0,4
941475.0,4
945075.0,3
948675.0,3
952275.0,10
955875.0,8
959475.0,6
963075.0,3
966675.0,9
970275.0,6
973875.0,4
977475.0,3
981075.0,3
984675.0,2
988275.0,13
991875.0,43
995475.0,69
999075.0,55
1002675.0,65
1006275.0,20
1009875.0,18
1013475.0,15
1017075.0,27
1020675.0,38
1024275.0,41
1027875.0,23
1031475.0,54
1035075.0,22
1038675.0,76
1042275.0,10
1045875.0,12
