app_name,instances,role_cn,role_hn,cpu_req_sum,gpu_req_sum,rdma_req_sum,mem_req_sum,disk_req_sum,max_ipn_mode,sched_delay_p50,runtime_p50
app_0,2551,1891,660,98688,660,63775,481920.0,1730320.0,2,0.0,8484.0
app_1,15,7,8,736,8,207,3628.0,4216.0,2,1.0,102799.0
app_10,9,5,4,512,4,105,2528.0,1615.0,-1,3.0,9847.0
app_100,29,15,14,1072,14,365,5024.0,6205.0,-1,0.0,54941.0
app_101,39,13,26,1040,26,663,6760.0,7725.0,2,0.0,9743.0
app_102,16,4,12,480,12,304,2112.0,3060.0,2,0.0,96.0
app_103,17,11,6,752,6,161,3760.0,5270.0,-1,0.0,2037.0
app_104,16,14,2,1168,2,64,6440.0,5270.0,-1,0.0,12054.0
app_105,5,3,2,208,2,53,1040.0,1105.0,-1,553.0,
app_106,6,1,5,88,5,126,440.0,804.0,4,0.0,120351.0
app_107,70,45,25,4620,25,670,28000.0,15715.0,-1,34.5,951.0
app_108,6,1,5,112,5,126,440.0,809.0,4,0.0,129857.0
app_109,28,24,4,1568,4,124,12800.0,10892.0,-1,0.0,8777.0
app_11,145,105,40,7040,40,1105,43600.0,29810.0,2,1.0,10709.0
app_110,13,8,5,552,5,133,5200.0,2880.0,-1,0.0,11484.0
app_111,27,1,26,304,26,701,1640.0,4760.0,10,0.0,3602.0
app_112,12,7,5,712,5,132,3560.0,2210.0,-1,0.0,23897.0
app_113,7,3,4,320,4,103,1600.0,1060.0,8,0.0,611128.0
app_114,150,5,145,1480,145,3630,7450.0,13550.0,2,0.0,14888.0
app_115,67,55,12,3616,12,355,17792.0,21400.0,-1,0.0,38857.0
app_116,6,4,2,272,2,54,1360.0,1360.0,-1,146.5,1126526.0
app_117,19,13,6,880,6,163,4400.0,3810.0,-1,0.0,161999.0
app_118,9,5,4,352,4,105,2660.0,2805.0,-1,0.0,
app_119,9,3,6,240,6,153,1200.0,1785.0,2,0.0,98.0
app_12,44,31,13,3080,13,356,15400.0,8950.0,-1,0.0,16585.0
app_120,17,9,8,640,8,209,3008.0,3655.0,-1,13.0,952.0
app_121,5,2,3,152,3,77,1048.0,1360.0,2,0.0,14898.0
app_122,9,8,1,1544,1,433,7720.0,2890.0,-1,0.0,227076.0
app_123,567,509,58,24896,58,1959,123088.0,139655.0,-1,0.0,6527.0
app_124,8,3,5,232,5,155,1160.0,2600.0,2,28.0,945.5
app_125,55,21,34,2032,34,871,10160.0,9820.0,4,0.0,144.5
app_126,521,333,188,33708,188,5033,168540.0,137785.0,-1,0.0,23375.0
app_127,14,9,5,616,5,584,3080.0,3910.0,-1,0.0,8140.0
app_128,62,27,35,1798,35,1052,13860.0,22695.0,2,0.0,741.0
app_129,23,17,6,1136,6,167,7840.0,5355.0,-1,0.0,10247.5
app_13,430,348,82,34064,82,2398,170320.0,95260.0,-1,0.0,34345.0
app_130,204,165,39,10872,39,1140,54360.0,48705.0,-1,0.0,132.0
app_131,12,10,2,656,2,60,3264.0,2720.0,-1,0.0,29586.0
app_132,108,66,42,4560,42,1116,22800.0,20415.0,-1,0.0,971.0
app_133,12,10,2,656,2,60,3232.0,2890.0,-1,0.0,67396.5
app_134,21,16,5,1576,5,141,7880.0,6715.0,-1,0.0,9024.0
app_135,24,20,4,1952,4,1120,9760.0,7480.0,-1,834.5,312553.0
app_136,250,144,106,14672,106,2794,72512.0,45730.0,-1,0.0,951.0
app_137,39,21,18,1488,18,471,7440.0,8415.0,-1,0.0,35570.0
app_138,70,40,30,2800,30,790,15200.0,15300.0,-1,0.0,103941.0
app_139,68,36,32,3712,32,836,18304.0,11900.0,-1,0.0,14679.0
app_14,612,557,55,27176,55,1932,134560.0,151260.0,4,0.0,9995.5
app_140,382,319,63,20920,63,1894,104600.0,90645.0,-1,0.0,132.0
