role,,count,mean,std,min,p50,p90,p95,max
CN,cpu_request,16485.0,72.168,27.716,24.0,64.0,96.0,96.0,192.0
CN,gpu_request,16485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN,rdma_request,16485.0,17.645,31.609,1.0,1.0,100.0,100.0,100.0
CN,memory_request,16485.0,363.94,144.147,120.0,320.0,480.0,480.0,1000.0
CN,disk_request,16485.0,366.428,161.331,240.0,255.0,680.0,680.0,996.0
HN,cpu_request,7386.0,8.517,1.86,2.0,8.0,12.0,12.0,24.0
HN,gpu_request,7386.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
HN,rdma_request,7386.0,27.864,9.775,1.0,25.0,25.0,50.0,75.0
HN,memory_request,7386.0,46.826,28.19,16.0,40.0,80.0,120.0,400.0
HN,disk_request,7386.0,178.529,167.888,80.0,100.0,255.0,680.0,680.0
